pokemon,tm_number,move_name
Bulbasaur,7,Toxic
Bulbasaur,16,Light Screen
Bulbasaur,17,Protect
Bulbasaur,26,Energy Ball
Bulbasaur,30,Swords Dance
Bulbasaur,33,Body Slam
Bulbasaur,35,Endure
Bulbasaur,40,Bullet Seed
Bulbasaur,42,Giga Drain
Bulbasaur,51,Safeguard
Bulbasaur,53,Sludge Bomb
Bulbasaur,56,Double-Edge
Bulbasaur,64,Solar Beam
Bulbasaur,85,Substitute
Bulbasaur,103,Work Up
Bulbasaur,109,Facade
Bulbasaur,112,Acid Spray
Bulbasaur,115,Trailblaze
Bulbasaur,122,False Swipe
Bulbasaur,128,Seed Bomb
Bulbasaur,151,Petal Dance
Ivysaur,5,Roar
Ivysaur,7,Toxic
Ivysaur,16,Light Screen
Ivysaur,17,Protect
Ivysaur,26,Energy Ball
Ivysaur,30,Swords Dance
Ivysaur,33,Body Slam
Ivysaur,35,Endure
Ivysaur,40,Bullet Seed
Ivysaur,42,Giga Drain
Ivysaur,51,Safeguard
Ivysaur,53,Sludge Bomb
Ivysaur,56,Double-Edge
Ivysaur,64,Solar Beam
Ivysaur,85,Substitute
Ivysaur,103,Work Up
Ivysaur,109,Facade
Ivysaur,112,Acid Spray
Ivysaur,115,Trailblaze
Ivysaur,122,False Swipe
Ivysaur,128,Seed Bomb
Ivysaur,151,Petal Dance
Venusaur,5,Roar
Venusaur,7,Toxic
Venusaur,16,Light Screen
Venusaur,17,Protect
Venusaur,26,Energy Ball
Venusaur,30,Swords Dance
Venusaur,33,Body Slam
Venusaur,35,Endure
Venusaur,40,Bullet Seed
Venusaur,42,Giga Drain
Venusaur,44,Hyper Beam
Venusaur,51,Safeguard
Venusaur,52,Earth Power
Venusaur,53,Sludge Bomb
Venusaur,55,Giga Impact
Venusaur,56,Double-Edge
Venusaur,64,Solar Beam
Venusaur,69,Earthquake
Venusaur,85,Substitute
Venusaur,93,Outrage
Venusaur,103,Work Up
Venusaur,109,Facade
Venusaur,112,Acid Spray
Venusaur,115,Trailblaze
Venusaur,122,False Swipe
Venusaur,128,Seed Bomb
Venusaur,151,Petal Dance
Venusaur,160,Frenzy Plant
Charmander,2,Dragon Claw
Charmander,5,Roar
Charmander,10,Brick Break
Charmander,12,Rock Slide
Charmander,14,Fire Fang
Charmander,17,Protect
Charmander,23,Thunder Punch
Charmander,25,Crunch
Charmander,27,Swift
Charmander,28,Dig
Charmander,29,Fire Punch
Charmander,30,Swords Dance
Charmander,33,Body Slam
Charmander,35,Endure
Charmander,36,Rock Tomb
Charmander,38,Fire Blast
Charmander,50,Overheat
Charmander,57,Will-O-Wisp
Charmander,61,Shadow Claw
Charmander,62,Flamethrower
Charmander,68,Heat Wave
Charmander,72,Fire Spin
Charmander,75,Dragon Pulse
Charmander,85,Substitute
Charmander,87,Iron Tail
Charmander,93,Outrage
Charmander,102,Focus Blast
Charmander,104,Flare Blitz
Charmander,109,Facade
Charmander,114,Flame Charge
Charmander,120,Ancient Power
Charmander,122,False Swipe
Charmeleon,2,Dragon Claw
Charmeleon,5,Roar
Charmeleon,10,Brick Break
Charmeleon,12,Rock Slide
Charmeleon,14,Fire Fang
Charmeleon,17,Protect
Charmeleon,23,Thunder Punch
Charmeleon,25,Crunch
Charmeleon,27,Swift
Charmeleon,28,Dig
Charmeleon,29,Fire Punch
Charmeleon,30,Swords Dance
Charmeleon,33,Body Slam
Charmeleon,35,Endure
Charmeleon,36,Rock Tomb
Charmeleon,38,Fire Blast
Charmeleon,50,Overheat
Charmeleon,57,Will-O-Wisp
Charmeleon,61,Shadow Claw
Charmeleon,62,Flamethrower
Charmeleon,68,Heat Wave
Charmeleon,72,Fire Spin
Charmeleon,75,Dragon Pulse
Charmeleon,85,Substitute
Charmeleon,87,Iron Tail
Charmeleon,93,Outrage
Charmeleon,102,Focus Blast
Charmeleon,104,Flare Blitz
Charmeleon,109,Facade
Charmeleon,114,Flame Charge
Charmeleon,120,Ancient Power
Charmeleon,122,False Swipe
Charizard,2,Dragon Claw
Charizard,5,Roar
Charizard,10,Brick Break
Charizard,12,Rock Slide
Charizard,14,Fire Fang
Charizard,17,Protect
Charizard,23,Thunder Punch
Charizard,25,Crunch
Charizard,27,Swift
Charizard,28,Dig
Charizard,29,Fire Punch
Charizard,30,Swords Dance
Charizard,33,Body Slam
Charizard,35,Endure
Charizard,36,Rock Tomb
Charizard,38,Fire Blast
Charizard,43,Fly
Charizard,44,Hyper Beam
Charizard,50,Overheat
Charizard,55,Giga Impact
Charizard,56,Double-Edge
Charizard,57,Will-O-Wisp
Charizard,61,Shadow Claw
Charizard,62,Flamethrower
Charizard,64,Solar Beam
Charizard,68,Heat Wave
Charizard,69,Earthquake
Charizard,72,Fire Spin
Charizard,75,Dragon Pulse
Charizard,79,Hurricane
Charizard,85,Substitute
Charizard,87,Iron Tail
Charizard,93,Outrage
Charizard,102,Focus Blast
Charizard,104,Flare Blitz
Charizard,109,Facade
Charizard,114,Flame Charge
Charizard,119,Ominous Wind
Charizard,120,Ancient Power
Charizard,122,False Swipe
Charizard,133,Blaze Kick
Charizard,134,Dual Wingbeat
Charizard,136,Scorching Sands
Charizard,143,Scale Shot
Charizard,146,Skull Bash
Charizard,154,Fissure
Charizard,158,Blast Burn
Squirtle,1,Headbutt
Squirtle,9,Flip Turn
Squirtle,10,Brick Break
Squirtle,13,Ice Beam
Squirtle,17,Protect
Squirtle,24,Ice Punch
Squirtle,28,Dig
Squirtle,33,Body Slam
Squirtle,35,Endure
Squirtle,36,Rock Tomb
Squirtle,41,Water Pulse
Squirtle,46,Mud Shot
Squirtle,49,Icy Wind
Squirtle,56,Double-Edge
Squirtle,58,Iron Head
Squirtle,59,Zen Headbutt
Squirtle,70,Whirlpool
Squirtle,73,Surf
Squirtle,75,Dragon Pulse
Squirtle,76,Liquidation
Squirtle,80,Iron Defense
Squirtle,85,Substitute
Squirtle,87,Iron Tail
Squirtle,96,Hydro Pump
Squirtle,98,Waterfall
Squirtle,103,Work Up
Squirtle,105,Blizzard
Squirtle,109,Facade
Squirtle,110,Chilling Water
Squirtle,140,Muddy Water
Squirtle,141,Fake Out
Squirtle,146,Skull Bash
Squirtle,148,Scald
Wartortle,1,Headbutt
Wartortle,9,Flip Turn
Wartortle,10,Brick Break
Wartortle,13,Ice Beam
Wartortle,17,Protect
Wartortle,24,Ice Punch
Wartortle,28,Dig
Wartortle,33,Body Slam
Wartortle,35,Endure
Wartortle,36,Rock Tomb
Wartortle,41,Water Pulse
Wartortle,46,Mud Shot
Wartortle,49,Icy Wind
Wartortle,56,Double-Edge
Wartortle,58,Iron Head
Wartortle,59,Zen Headbutt
Wartortle,70,Whirlpool
Wartortle,73,Surf
Wartortle,75,Dragon Pulse
Wartortle,76,Liquidation
Wartortle,80,Iron Defense
Wartortle,85,Substitute
Wartortle,87,Iron Tail
Wartortle,96,Hydro Pump
Wartortle,98,Waterfall
Wartortle,103,Work Up
Wartortle,105,Blizzard
Wartortle,109,Facade
Wartortle,110,Chilling Water
Wartortle,140,Muddy Water
Wartortle,141,Fake Out
Wartortle,146,Skull Bash
Wartortle,148,Scald
Blastoise,1,Headbutt
Blastoise,5,Roar
Blastoise,9,Flip Turn
Blastoise,10,Brick Break
Blastoise,12,Rock Slide
Blastoise,13,Ice Beam
Blastoise,17,Protect
Blastoise,24,Ice Punch
Blastoise,25,Crunch
Blastoise,28,Dig
Blastoise,33,Body Slam
Blastoise,35,Endure
Blastoise,36,Rock Tomb
Blastoise,41,Water Pulse
Blastoise,44,Hyper Beam
Blastoise,46,Mud Shot
Blastoise,49,Icy Wind
Blastoise,55,Giga Impact
Blastoise,56,Double-Edge
Blastoise,58,Iron Head
Blastoise,59,Zen Headbutt
Blastoise,69,Earthquake
Blastoise,70,Whirlpool
Blastoise,73,Surf
Blastoise,75,Dragon Pulse
Blastoise,76,Liquidation
Blastoise,80,Iron Defense
Blastoise,84,Flash Cannon
Blastoise,85,Substitute
Blastoise,87,Iron Tail
Blastoise,90,Dark Pulse
Blastoise,93,Outrage
Blastoise,96,Hydro Pump
Blastoise,98,Waterfall
Blastoise,102,Focus Blast
Blastoise,103,Work Up
Blastoise,105,Blizzard
Blastoise,109,Facade
Blastoise,110,Chilling Water
Blastoise,122,False Swipe
Blastoise,140,Muddy Water
Blastoise,141,Fake Out
Blastoise,146,Skull Bash
Blastoise,148,Scald
Blastoise,159,Hydro Cannon
Butterfree,11,Sunny Day
Butterfree,15,Hyper Beam
Butterfree,17,Protect
Butterfree,18,Rain Dance
Butterfree,19,Giga Drain
Butterfree,20,Safeguard
Butterfree,22,Solar Beam
Butterfree,29,Psychic
Butterfree,30,Shadow Ball
Butterfree,32,Double Team
Butterfree,40,Aerial Ace
Butterfree,42,Facade
Butterfree,44,Rest
Butterfree,45,Attract
Butterfree,46,Thief
Butterfree,48,Skill Swap
Butterfree,51,Roost
Butterfree,53,Energy Ball
Butterfree,58,Endure
Butterfree,62,Bug Buzz
Butterfree,68,Giga Impact
Butterfree,70,Flash
Butterfree,77,Psych Up
Butterfree,82,Sleep Talk
Butterfree,85,Dream Eater
Butterfree,87,Swagger
Butterfree,89,U-turn
Butterfree,90,Substitute
Butterfree,97,Defog
Weedle,101,Electroweb
Weedle,109,Facade
Kakuna,80,Iron Defense
Kakuna,101,Electroweb
Kakuna,109,Facade
Beedrill,4,Rock Smash
Beedrill,7,Toxic
Beedrill,10,Brick Break
Beedrill,17,Protect
Beedrill,22,Aerial Ace
Beedrill,30,Swords Dance
Beedrill,35,Endure
Beedrill,42,Giga Drain
Beedrill,44,Hyper Beam
Beedrill,47,Agility
Beedrill,53,Sludge Bomb
Beedrill,55,Giga Impact
Beedrill,64,Solar Beam
Beedrill,77,Poison Jab
Beedrill,80,Iron Defense
Beedrill,81,X-Scissor
Beedrill,82,U-turn
Beedrill,85,Substitute
Beedrill,89,Toxic Spikes
Beedrill,93,Outrage
Beedrill,101,Electroweb
Beedrill,109,Facade
Beedrill,117,Silver Wind
Beedrill,122,False Swipe
Beedrill,132,Double Hit
Beedrill,134,Dual Wingbeat
Pidgey,1,Headbutt
Pidgey,17,Protect
Pidgey,22,Aerial Ace
Pidgey,31,Reflect
Pidgey,32,Double Team
Pidgey,35,Endure
Pidgey,43,Fly
Pidgey,47,Agility
Pidgey,68,Heat Wave
Pidgey,79,Hurricane
Pidgey,82,U-turn
Pidgey,85,Substitute
Pidgey,94,Whirlwind
Pidgey,103,Work Up
Pidgey,109,Facade
Pidgey,134,Dual Wingbeat
Pidgeotto,1,Headbutt
Pidgeotto,17,Protect
Pidgeotto,22,Aerial Ace
Pidgeotto,31,Reflect
Pidgeotto,32,Double Team
Pidgeotto,35,Endure
Pidgeotto,43,Fly
Pidgeotto,47,Agility
Pidgeotto,68,Heat Wave
Pidgeotto,79,Hurricane
Pidgeotto,82,U-turn
Pidgeotto,85,Substitute
Pidgeotto,94,Whirlwind
Pidgeotto,103,Work Up
Pidgeotto,109,Facade
Pidgeotto,119,Ominous Wind
Pidgeotto,134,Dual Wingbeat
Pidgeotto,145,Razor Wind
Pidgeotto,153,Sky Attack
Pidgeot,1,Headbutt
Pidgeot,17,Protect
Pidgeot,22,Aerial Ace
Pidgeot,31,Reflect
Pidgeot,32,Double Team
Pidgeot,35,Endure
Pidgeot,43,Fly
Pidgeot,44,Hyper Beam
Pidgeot,47,Agility
Pidgeot,55,Giga Impact
Pidgeot,68,Heat Wave
Pidgeot,79,Hurricane
Pidgeot,82,U-turn
Pidgeot,85,Substitute
Pidgeot,94,Whirlwind
Pidgeot,103,Work Up
Pidgeot,109,Facade
Pidgeot,119,Ominous Wind
Pidgeot,134,Dual Wingbeat
Pidgeot,145,Razor Wind
Pidgeot,153,Sky Attack
Rattata,10,Work Up
Rattata,11,Sunny Day
Rattata,12,Taunt
Rattata,13,Ice Beam
Rattata,14,Blizzard
Rattata,17,Protect
Rattata,18,Rain Dance
Rattata,23,Iron Tail
Rattata,24,Thunderbolt
Rattata,25,Thunder
Rattata,28,Dig
Rattata,30,Shadow Ball
Rattata,32,Double Team
Rattata,34,Shock Wave
Rattata,36,Sludge Bomb
Rattata,42,Facade
Rattata,44,Rest
Rattata,45,Attract
Rattata,46,Thief
Rattata,57,Charge Beam
Rattata,58,Endure
Rattata,73,Thunder Wave
Rattata,82,Sleep Talk
Rattata,86,Grass Knot
Rattata,87,Swagger
Rattata,88,Pluck
Rattata,90,Substitute
Rattata,93,Cut
Rattata,98,Rock Smash
Raticate,5,Roar
Raticate,10,Work Up
Raticate,11,Sunny Day
Raticate,12,Taunt
Raticate,13,Ice Beam
Raticate,14,Blizzard
Raticate,15,Hyper Beam
Raticate,17,Protect
Raticate,18,Rain Dance
Raticate,23,Iron Tail
Raticate,24,Thunderbolt
Raticate,25,Thunder
Raticate,28,Dig
Raticate,30,Shadow Ball
Raticate,32,Double Team
Raticate,34,Shock Wave
Raticate,36,Sludge Bomb
Raticate,42,Facade
Raticate,44,Rest
Raticate,45,Attract
Raticate,46,Thief
Raticate,57,Charge Beam
Raticate,58,Endure
Raticate,68,Giga Impact
Raticate,73,Thunder Wave
Raticate,75,Swords Dance
Raticate,82,Sleep Talk
Raticate,86,Grass Knot
Raticate,87,Swagger
Raticate,88,Pluck
Raticate,90,Substitute
Raticate,93,Cut
Raticate,96,Strength
Raticate,98,Rock Smash
Spearow,10,Work Up
Spearow,11,Sunny Day
Spearow,17,Protect
Spearow,18,Rain Dance
Spearow,32,Double Team
Spearow,40,Aerial Ace
Spearow,42,Facade
Spearow,44,Rest
Spearow,45,Attract
Spearow,46,Thief
Spearow,47,Steel Wing
Spearow,51,Roost
Spearow,54,False Swipe
Spearow,58,Endure
Spearow,82,Sleep Talk
Spearow,87,Swagger
Spearow,88,Pluck
Spearow,89,U-turn
Spearow,90,Substitute
Spearow,94,Fly
Spearow,97,Defog
Fearow,10,Work Up
Fearow,11,Sunny Day
Fearow,15,Hyper Beam
Fearow,17,Protect
Fearow,18,Rain Dance
Fearow,32,Double Team
Fearow,40,Aerial Ace
Fearow,42,Facade
Fearow,44,Rest
Fearow,45,Attract
Fearow,46,Thief
Fearow,47,Steel Wing
Fearow,51,Roost
Fearow,54,False Swipe
Fearow,58,Endure
Fearow,68,Giga Impact
Fearow,82,Sleep Talk
Fearow,87,Swagger
Fearow,88,Pluck
Fearow,89,U-turn
Fearow,90,Substitute
Fearow,94,Fly
Fearow,97,Defog
Ekans,7,Toxic
Ekans,12,Rock Slide
Ekans,14,Fire Fang
Ekans,15,Ice Fang
Ekans,17,Protect
Ekans,21,Thunder Fang
Ekans,28,Dig
Ekans,33,Body Slam
Ekans,35,Endure
Ekans,36,Rock Tomb
