Epoch 1/1500, Loss: 8.560407e+04, Test Loss: 6.157662e+03
Epoch 2/1500, Loss: 5.746094e+04, Test Loss: 6.424642e+03
Epoch 3/1500, Loss: 5.813122e+04, Test Loss: 4.854014e+03
Epoch 4/1500, Loss: 6.092510e+04, Test Loss: 5.757212e+03
Epoch 5/1500, Loss: 5.711491e+04, Test Loss: 5.278403e+03
Epoch 6/1500, Loss: 5.334915e+04, Test Loss: 7.280968e+03
Epoch 7/1500, Loss: 5.800505e+04, Test Loss: 5.659577e+03
Epoch 8/1500, Loss: 5.492873e+04, Test Loss: 6.447812e+03
Epoch 9/1500, Loss: 5.823454e+04, Test Loss: 5.056771e+03
Epoch 10/1500, Loss: 5.386447e+04, Test Loss: 4.775632e+03
Epoch 11/1500, Loss: 5.368577e+04, Test Loss: 5.717189e+03
Epoch 12/1500, Loss: 6.075581e+04, Test Loss: 6.292477e+03
Epoch 13/1500, Loss: 6.065115e+04, Test Loss: 6.305759e+03
Epoch 14/1500, Loss: 5.788234e+04, Test Loss: 5.089093e+03
Epoch 15/1500, Loss: 5.270495e+04, Test Loss: 3.984741e+03
Epoch 16/1500, Loss: 4.615641e+04, Test Loss: 4.148265e+03
Epoch 17/1500, Loss: 3.996470e+04, Test Loss: 3.482107e+03
Epoch 18/1500, Loss: 4.085330e+04, Test Loss: 3.688825e+03
Epoch 19/1500, Loss: 4.196502e+04, Test Loss: 3.675053e+03
Epoch 20/1500, Loss: 3.649739e+04, Test Loss: 3.262443e+03
Epoch 21/1500, Loss: 3.266199e+04, Test Loss: 2.794062e+03
Epoch 22/1500, Loss: 3.528849e+04, Test Loss: 2.539423e+03
Epoch 23/1500, Loss: 3.947496e+04, Test Loss: 3.418037e+03
Epoch 24/1500, Loss: 3.497042e+04, Test Loss: 3.001573e+03
Epoch 25/1500, Loss: 3.347153e+04, Test Loss: 2.322244e+03
Epoch 26/1500, Loss: 3.780870e+04, Test Loss: 4.504428e+03
Epoch 27/1500, Loss: 4.626846e+04, Test Loss: 4.002029e+03
Epoch 28/1500, Loss: 3.562390e+04, Test Loss: 2.179560e+03
Epoch 29/1500, Loss: 3.377733e+04, Test Loss: 3.227627e+03
Epoch 30/1500, Loss: 3.346212e+04, Test Loss: 2.934373e+03
Epoch 31/1500, Loss: 3.549420e+04, Test Loss: 2.453783e+03
Epoch 32/1500, Loss: 3.817464e+04, Test Loss: 3.888630e+03
Epoch 33/1500, Loss: 3.469459e+04, Test Loss: 5.507800e+03
Epoch 34/1500, Loss: 3.787486e+04, Test Loss: 4.696671e+03
Epoch 35/1500, Loss: 3.769709e+04, Test Loss: 3.107463e+03
Epoch 36/1500, Loss: 3.330678e+04, Test Loss: 3.222761e+03
Epoch 37/1500, Loss: 3.556383e+04, Test Loss: 2.992813e+03
Epoch 38/1500, Loss: 3.076646e+04, Test Loss: 3.159689e+03
Epoch 39/1500, Loss: 3.237569e+04, Test Loss: 2.408171e+03
Epoch 40/1500, Loss: 4.125552e+04, Test Loss: 2.866579e+03
Epoch 41/1500, Loss: 3.207436e+04, Test Loss: 3.362969e+03
Epoch 42/1500, Loss: 3.658533e+04, Test Loss: 2.639645e+03
Epoch 43/1500, Loss: 3.295856e+04, Test Loss: 2.131639e+03
Epoch 44/1500, Loss: 3.076767e+04, Test Loss: 3.379547e+03
Epoch 45/1500, Loss: 2.829835e+04, Test Loss: 2.942501e+03
Epoch 46/1500, Loss: 2.800368e+04, Test Loss: 3.263187e+03
Epoch 47/1500, Loss: 3.167735e+04, Test Loss: 2.897265e+03
Epoch 48/1500, Loss: 2.845827e+04, Test Loss: 2.898753e+03
Epoch 49/1500, Loss: 2.835810e+04, Test Loss: 2.714697e+03
Epoch 50/1500, Loss: 2.688107e+04, Test Loss: 2.202973e+03
Epoch 51/1500, Loss: 2.903501e+04, Test Loss: 2.365390e+03
Epoch 52/1500, Loss: 2.636966e+04, Test Loss: 2.666561e+03
Epoch 53/1500, Loss: 2.951622e+04, Test Loss: 2.873333e+03
Epoch 54/1500, Loss: 2.666240e+04, Test Loss: 3.703350e+03
Epoch 55/1500, Loss: 3.198751e+04, Test Loss: 3.941862e+03
Epoch 56/1500, Loss: 2.813953e+04, Test Loss: 3.724252e+03
Epoch 57/1500, Loss: 2.806730e+04, Test Loss: 3.486658e+03
Epoch 58/1500, Loss: 2.899056e+04, Test Loss: 3.422400e+03
Epoch 59/1500, Loss: 2.839659e+04, Test Loss: 3.617335e+03
Epoch 60/1500, Loss: 2.826788e+04, Test Loss: 3.278094e+03
Epoch 61/1500, Loss: 2.703784e+04, Test Loss: 3.159408e+03
Epoch 62/1500, Loss: 2.713040e+04, Test Loss: 3.196939e+03
Epoch 63/1500, Loss: 2.561327e+04, Test Loss: 2.923016e+03
Epoch 64/1500, Loss: 2.651795e+04, Test Loss: 2.739500e+03
Epoch 65/1500, Loss: 2.834439e+04, Test Loss: 3.048795e+03
Epoch 66/1500, Loss: 2.643424e+04, Test Loss: 2.769283e+03
Epoch 67/1500, Loss: 2.526261e+04, Test Loss: 2.566542e+03
Epoch 68/1500, Loss: 2.530419e+04, Test Loss: 2.665824e+03
Epoch 69/1500, Loss: 2.581707e+04, Test Loss: 2.444590e+03
Epoch 70/1500, Loss: 2.764206e+04, Test Loss: 2.471270e+03
Epoch 71/1500, Loss: 2.591474e+04, Test Loss: 2.346086e+03
Epoch 72/1500, Loss: 2.568850e+04, Test Loss: 2.363791e+03
Epoch 73/1500, Loss: 2.631619e+04, Test Loss: 2.177352e+03
Epoch 74/1500, Loss: 2.503116e+04, Test Loss: 2.209151e+03
Epoch 75/1500, Loss: 3.010183e+04, Test Loss: 2.530104e+03
Epoch 76/1500, Loss: 2.726276e+04, Test Loss: 2.494179e+03
Epoch 77/1500, Loss: 2.589226e+04, Test Loss: 2.414891e+03
Epoch 78/1500, Loss: 2.592135e+04, Test Loss: 2.387651e+03
Epoch 79/1500, Loss: 2.478669e+04, Test Loss: 2.372292e+03
Epoch 80/1500, Loss: 2.516165e+04, Test Loss: 2.363284e+03
Epoch 81/1500, Loss: 2.482871e+04, Test Loss: 2.333182e+03
Epoch 82/1500, Loss: 2.291609e+04, Test Loss: 2.340036e+03
Epoch 83/1500, Loss: 2.301756e+04, Test Loss: 2.239836e+03
Epoch 84/1500, Loss: 2.338047e+04, Test Loss: 2.302666e+03
Epoch 85/1500, Loss: 2.403066e+04, Test Loss: 2.226145e+03
Epoch 86/1500, Loss: 2.375651e+04, Test Loss: 2.264476e+03
Epoch 87/1500, Loss: 2.832934e+04, Test Loss: 2.262642e+03
Epoch 88/1500, Loss: 2.437937e+04, Test Loss: 2.283338e+03
Epoch 89/1500, Loss: 2.390330e+04, Test Loss: 2.330823e+03
Epoch 90/1500, Loss: 2.436924e+04, Test Loss: 2.197456e+03
Epoch 91/1500, Loss: 2.469367e+04, Test Loss: 2.175375e+03
Epoch 92/1500, Loss: 2.519046e+04, Test Loss: 2.226946e+03
Epoch 93/1500, Loss: 2.592624e+04, Test Loss: 2.266859e+03
Epoch 94/1500, Loss: 2.618546e+04, Test Loss: 2.284557e+03
Epoch 95/1500, Loss: 2.844256e+04, Test Loss: 2.137818e+03
Epoch 96/1500, Loss: 2.258096e+04, Test Loss: 2.154010e+03
Epoch 97/1500, Loss: 2.521247e+04, Test Loss: 1.991038e+03
Epoch 98/1500, Loss: 2.401510e+04, Test Loss: 1.567214e+03
Epoch 99/1500, Loss: 2.498243e+04, Test Loss: 1.758620e+03
Epoch 100/1500, Loss: 2.388772e+04, Test Loss: 1.817493e+03
Epoch 101/1500, Loss: 2.318694e+04, Test Loss: 1.853330e+03
Epoch 102/1500, Loss: 2.305952e+04, Test Loss: 1.809938e+03
Epoch 103/1500, Loss: 2.311412e+04, Test Loss: 1.793222e+03
Epoch 104/1500, Loss: 2.371923e+04, Test Loss: 1.800279e+03
Epoch 105/1500, Loss: 2.295069e+04, Test Loss: 1.690892e+03
Epoch 106/1500, Loss: 2.206866e+04, Test Loss: 1.612062e+03
Epoch 107/1500, Loss: 2.246357e+04, Test Loss: 2.055849e+03
Epoch 108/1500, Loss: 2.261132e+04, Test Loss: 2.080323e+03
Epoch 109/1500, Loss: 2.298179e+04, Test Loss: 1.633402e+03
Epoch 110/1500, Loss: 2.235292e+04, Test Loss: 1.896321e+03
Epoch 111/1500, Loss: 2.272551e+04, Test Loss: 1.693043e+03
Epoch 112/1500, Loss: 2.241253e+04, Test Loss: 1.773025e+03
Epoch 113/1500, Loss: 2.327296e+04, Test Loss: 1.744170e+03
Epoch 114/1500, Loss: 2.241244e+04, Test Loss: 1.690289e+03
Epoch 115/1500, Loss: 2.152110e+04, Test Loss: 1.716838e+03
Epoch 116/1500, Loss: 2.333127e+04, Test Loss: 1.736703e+03
Epoch 117/1500, Loss: 2.366549e+04, Test Loss: 1.546469e+03
Epoch 118/1500, Loss: 2.281392e+04, Test Loss: 1.492327e+03
Epoch 119/1500, Loss: 2.275552e+04, Test Loss: 1.452164e+03
Epoch 120/1500, Loss: 2.201064e+04, Test Loss: 1.522322e+03
Epoch 121/1500, Loss: 2.203160e+04, Test Loss: 1.871196e+03
Epoch 122/1500, Loss: 2.182428e+04, Test Loss: 1.991850e+03
Epoch 123/1500, Loss: 2.170545e+04, Test Loss: 1.876853e+03
Epoch 124/1500, Loss: 2.174601e+04, Test Loss: 1.903350e+03
Epoch 125/1500, Loss: 2.176789e+04, Test Loss: 1.892765e+03
Epoch 126/1500, Loss: 2.168673e+04, Test Loss: 1.905632e+03
Epoch 127/1500, Loss: 2.206873e+04, Test Loss: 1.940315e+03
Epoch 128/1500, Loss: 2.203126e+04, Test Loss: 1.879235e+03
Epoch 129/1500, Loss: 2.187886e+04, Test Loss: 1.936959e+03
Epoch 130/1500, Loss: 2.184934e+04, Test Loss: 1.958717e+03
Epoch 131/1500, Loss: 2.194415e+04, Test Loss: 1.851017e+03
Epoch 132/1500, Loss: 2.264244e+04, Test Loss: 1.793732e+03
Epoch 133/1500, Loss: 2.185379e+04, Test Loss: 1.745202e+03
Epoch 134/1500, Loss: 2.162452e+04, Test Loss: 1.708950e+03
Epoch 135/1500, Loss: 2.142055e+04, Test Loss: 1.696024e+03
Epoch 136/1500, Loss: 2.144982e+04, Test Loss: 1.717339e+03
Epoch 137/1500, Loss: 2.212988e+04, Test Loss: 1.724847e+03
Epoch 138/1500, Loss: 2.232068e+04, Test Loss: 1.723624e+03
Epoch 139/1500, Loss: 2.209924e+04, Test Loss: 1.760771e+03
Epoch 140/1500, Loss: 2.162132e+04, Test Loss: 1.770478e+03
Epoch 141/1500, Loss: 2.165216e+04, Test Loss: 1.738953e+03
Epoch 142/1500, Loss: 2.141129e+04, Test Loss: 1.716587e+03
Epoch 143/1500, Loss: 2.114748e+04, Test Loss: 1.670041e+03
Epoch 144/1500, Loss: 2.125079e+04, Test Loss: 1.638946e+03
Epoch 145/1500, Loss: 2.233621e+04, Test Loss: 1.642981e+03
Epoch 146/1500, Loss: 2.159726e+04, Test Loss: 1.639355e+03
Epoch 147/1500, Loss: 2.139754e+04, Test Loss: 1.653148e+03
Epoch 148/1500, Loss: 2.130550e+04, Test Loss: 1.662555e+03
Epoch 149/1500, Loss: 2.123027e+04, Test Loss: 1.669387e+03
Epoch 150/1500, Loss: 2.117913e+04, Test Loss: 1.661611e+03
Epoch 151/1500, Loss: 2.119160e+04, Test Loss: 1.665717e+03
Epoch 152/1500, Loss: 2.115344e+04, Test Loss: 1.667786e+03
Epoch 153/1500, Loss: 2.120679e+04, Test Loss: 1.679126e+03
Epoch 154/1500, Loss: 2.107301e+04, Test Loss: 1.716774e+03
Epoch 155/1500, Loss: 2.243626e+04, Test Loss: 1.711165e+03
Epoch 156/1500, Loss: 2.185841e+04, Test Loss: 1.681583e+03
Epoch 157/1500, Loss: 2.153696e+04, Test Loss: 1.689368e+03
Epoch 158/1500, Loss: 2.526508e+04, Test Loss: 1.739258e+03
Epoch 159/1500, Loss: 2.066521e+04, Test Loss: 1.739172e+03
Epoch 160/1500, Loss: 2.072392e+04, Test Loss: 1.737501e+03
Epoch 161/1500, Loss: 2.078724e+04, Test Loss: 1.695259e+03
Epoch 162/1500, Loss: 2.062769e+04, Test Loss: 1.687636e+03
Epoch 163/1500, Loss: 2.062141e+04, Test Loss: 1.685938e+03
Epoch 164/1500, Loss: 2.049471e+04, Test Loss: 1.703501e+03
Epoch 165/1500, Loss: 2.032357e+04, Test Loss: 1.705741e+03
Epoch 166/1500, Loss: 2.023229e+04, Test Loss: 1.707175e+03
Epoch 167/1500, Loss: 2.013897e+04, Test Loss: 1.721141e+03
Epoch 168/1500, Loss: 2.010957e+04, Test Loss: 1.713526e+03
Epoch 169/1500, Loss: 2.018191e+04, Test Loss: 1.700696e+03
Epoch 170/1500, Loss: 2.009056e+04, Test Loss: 1.688630e+03
Epoch 171/1500, Loss: 1.999003e+04, Test Loss: 1.680197e+03
Epoch 172/1500, Loss: 2.004501e+04, Test Loss: 1.706479e+03
Epoch 173/1500, Loss: 1.997433e+04, Test Loss: 1.670341e+03
Epoch 174/1500, Loss: 1.987427e+04, Test Loss: 1.673307e+03
Epoch 175/1500, Loss: 1.999786e+04, Test Loss: 1.671151e+03
Epoch 176/1500, Loss: 1.964832e+04, Test Loss: 1.669078e+03
Epoch 177/1500, Loss: 2.019233e+04, Test Loss: 1.671052e+03
Epoch 178/1500, Loss: 2.035000e+04, Test Loss: 1.672987e+03
Epoch 179/1500, Loss: 2.022577e+04, Test Loss: 1.671998e+03
Epoch 180/1500, Loss: 2.017649e+04, Test Loss: 1.674281e+03
Epoch 181/1500, Loss: 2.017119e+04, Test Loss: 1.675599e+03
Epoch 182/1500, Loss: 2.016965e+04, Test Loss: 1.691563e+03
Epoch 183/1500, Loss: 2.015773e+04, Test Loss: 1.602897e+03
Epoch 184/1500, Loss: 2.053127e+04, Test Loss: 1.658581e+03
Epoch 185/1500, Loss: 2.022269e+04, Test Loss: 1.656003e+03
Epoch 186/1500, Loss: 2.013666e+04, Test Loss: 1.660159e+03
Epoch 187/1500, Loss: 2.000883e+04, Test Loss: 1.649112e+03
Epoch 188/1500, Loss: 1.959059e+04, Test Loss: 1.684449e+03
Epoch 189/1500, Loss: 1.947185e+04, Test Loss: 1.684452e+03
Epoch 190/1500, Loss: 1.948696e+04, Test Loss: 1.683105e+03
Epoch 191/1500, Loss: 1.946652e+04, Test Loss: 1.692501e+03
Epoch 192/1500, Loss: 1.944293e+04, Test Loss: 1.695608e+03
Epoch 193/1500, Loss: 1.969972e+04, Test Loss: 1.689157e+03
Epoch 194/1500, Loss: 1.972558e+04, Test Loss: 1.686668e+03
Epoch 195/1500, Loss: 1.971064e+04, Test Loss: 1.685586e+03
Epoch 196/1500, Loss: 1.965663e+04, Test Loss: 1.686545e+03
Epoch 197/1500, Loss: 1.960623e+04, Test Loss: 1.686731e+03
Epoch 198/1500, Loss: 1.956164e+04, Test Loss: 1.691823e+03
Epoch 199/1500, Loss: 1.954943e+04, Test Loss: 1.720639e+03
Epoch 200/1500, Loss: 1.963780e+04, Test Loss: 1.718276e+03
Epoch 201/1500, Loss: 1.961449e+04, Test Loss: 1.715437e+03
Epoch 202/1500, Loss: 1.967615e+04, Test Loss: 1.711963e+03
Epoch 203/1500, Loss: 1.964184e+04, Test Loss: 1.711818e+03
Epoch 204/1500, Loss: 1.940442e+04, Test Loss: 1.713211e+03
Epoch 205/1500, Loss: 1.941856e+04, Test Loss: 1.679610e+03
Epoch 206/1500, Loss: 1.945146e+04, Test Loss: 1.680305e+03
Epoch 207/1500, Loss: 1.943016e+04, Test Loss: 1.699472e+03
Epoch 208/1500, Loss: 1.941068e+04, Test Loss: 1.688702e+03
Epoch 209/1500, Loss: 1.932280e+04, Test Loss: 1.686983e+03
Epoch 210/1500, Loss: 1.926286e+04, Test Loss: 1.686723e+03
Epoch 211/1500, Loss: 1.920762e+04, Test Loss: 1.693336e+03
Epoch 212/1500, Loss: 1.922024e+04, Test Loss: 1.691091e+03
Epoch 213/1500, Loss: 1.923099e+04, Test Loss: 1.693437e+03
Epoch 214/1500, Loss: 1.920447e+04, Test Loss: 1.685338e+03
Epoch 215/1500, Loss: 1.914228e+04, Test Loss: 1.688333e+03
Epoch 216/1500, Loss: 1.916777e+04, Test Loss: 1.686342e+03
Epoch 217/1500, Loss: 1.908442e+04, Test Loss: 1.683750e+03
Epoch 218/1500, Loss: 1.907574e+04, Test Loss: 1.683366e+03
Epoch 219/1500, Loss: 1.906691e+04, Test Loss: 1.689552e+03
Epoch 220/1500, Loss: 1.902740e+04, Test Loss: 1.688841e+03
Epoch 221/1500, Loss: 1.900940e+04, Test Loss: 1.687453e+03
Epoch 222/1500, Loss: 1.899500e+04, Test Loss: 1.686272e+03
Epoch 223/1500, Loss: 1.897683e+04, Test Loss: 1.686819e+03
Epoch 224/1500, Loss: 1.897568e+04, Test Loss: 1.689548e+03
Epoch 225/1500, Loss: 1.895620e+04, Test Loss: 1.691156e+03
Epoch 226/1500, Loss: 1.893708e+04, Test Loss: 1.689255e+03
Epoch 227/1500, Loss: 1.891805e+04, Test Loss: 1.690549e+03
Epoch 228/1500, Loss: 1.893201e+04, Test Loss: 1.701571e+03
Epoch 229/1500, Loss: 1.893758e+04, Test Loss: 1.699330e+03
Epoch 230/1500, Loss: 1.891269e+04, Test Loss: 1.701139e+03
Epoch 231/1500, Loss: 1.888876e+04, Test Loss: 1.696290e+03
Epoch 232/1500, Loss: 1.884474e+04, Test Loss: 1.694248e+03
Epoch 233/1500, Loss: 1.882785e+04, Test Loss: 1.702531e+03
Epoch 234/1500, Loss: 1.883526e+04, Test Loss: 1.699860e+03
Epoch 235/1500, Loss: 1.883031e+04, Test Loss: 1.696371e+03
Epoch 236/1500, Loss: 1.880064e+04, Test Loss: 1.693277e+03
Epoch 237/1500, Loss: 1.878916e+04, Test Loss: 1.692658e+03
Epoch 238/1500, Loss: 1.877899e+04, Test Loss: 1.695714e+03
Epoch 239/1500, Loss: 1.876355e+04, Test Loss: 1.698800e+03
Epoch 240/1500, Loss: 1.875793e+04, Test Loss: 1.693000e+03
Epoch 241/1500, Loss: 1.874390e+04, Test Loss: 1.690335e+03
Epoch 242/1500, Loss: 1.874576e+04, Test Loss: 1.690020e+03
Epoch 243/1500, Loss: 1.874977e+04, Test Loss: 1.693393e+03
Epoch 244/1500, Loss: 1.874615e+04, Test Loss: 1.691954e+03
Epoch 245/1500, Loss: 1.876305e+04, Test Loss: 1.691397e+03
Epoch 246/1500, Loss: 1.906464e+04, Test Loss: 1.695982e+03
Epoch 247/1500, Loss: 1.906866e+04, Test Loss: 1.694346e+03
Epoch 248/1500, Loss: 1.904936e+04, Test Loss: 1.693659e+03
Epoch 249/1500, Loss: 1.903276e+04, Test Loss: 1.692478e+03
Epoch 250/1500, Loss: 1.902573e+04, Test Loss: 1.704080e+03
Epoch 251/1500, Loss: 1.902283e+04, Test Loss: 1.703365e+03
Epoch 252/1500, Loss: 1.899452e+04, Test Loss: 1.705051e+03
Epoch 253/1500, Loss: 1.898455e+04, Test Loss: 1.706192e+03
Epoch 254/1500, Loss: 1.897559e+04, Test Loss: 1.703071e+03
Epoch 255/1500, Loss: 1.895623e+04, Test Loss: 1.703755e+03
Epoch 256/1500, Loss: 1.893960e+04, Test Loss: 1.703381e+03
Epoch 257/1500, Loss: 1.895536e+04, Test Loss: 1.703725e+03
Epoch 258/1500, Loss: 1.894249e+04, Test Loss: 1.705700e+03
Epoch 259/1500, Loss: 1.895621e+04, Test Loss: 1.705690e+03
Epoch 260/1500, Loss: 1.894250e+04, Test Loss: 1.702826e+03
Epoch 261/1500, Loss: 1.893365e+04, Test Loss: 1.700647e+03
Epoch 262/1500, Loss: 1.891246e+04, Test Loss: 1.700058e+03
Epoch 263/1500, Loss: 1.892464e+04, Test Loss: 1.700611e+03
Epoch 264/1500, Loss: 1.891523e+04, Test Loss: 1.699152e+03
Epoch 265/1500, Loss: 1.890340e+04, Test Loss: 1.699986e+03
Epoch 266/1500, Loss: 1.890309e+04, Test Loss: 1.700904e+03
Epoch 267/1500, Loss: 1.890684e+04, Test Loss: 1.700611e+03
Epoch 268/1500, Loss: 1.890662e+04, Test Loss: 1.700947e+03
Epoch 269/1500, Loss: 1.891155e+04, Test Loss: 1.699697e+03
Epoch 270/1500, Loss: 1.893300e+04, Test Loss: 1.699307e+03
Epoch 271/1500, Loss: 1.893441e+04, Test Loss: 1.698503e+03
Epoch 272/1500, Loss: 1.890105e+04, Test Loss: 1.697903e+03
Epoch 273/1500, Loss: 1.890110e+04, Test Loss: 1.711626e+03
Epoch 274/1500, Loss: 1.889651e+04, Test Loss: 1.713681e+03
Epoch 275/1500, Loss: 1.888569e+04, Test Loss: 1.696135e+03
Epoch 276/1500, Loss: 1.883275e+04, Test Loss: 1.695699e+03
Epoch 277/1500, Loss: 1.882609e+04, Test Loss: 1.695448e+03
Epoch 278/1500, Loss: 1.882450e+04, Test Loss: 1.696863e+03
Epoch 279/1500, Loss: 1.884105e+04, Test Loss: 1.696415e+03
Epoch 280/1500, Loss: 1.884047e+04, Test Loss: 1.696078e+03
Epoch 281/1500, Loss: 1.884463e+04, Test Loss: 1.698565e+03
Epoch 282/1500, Loss: 1.886332e+04, Test Loss: 1.697663e+03
Epoch 283/1500, Loss: 1.884261e+04, Test Loss: 1.694440e+03
Epoch 284/1500, Loss: 1.883927e+04, Test Loss: 1.693880e+03
Epoch 285/1500, Loss: 1.884197e+04, Test Loss: 1.690599e+03
Epoch 286/1500, Loss: 1.882628e+04, Test Loss: 1.689656e+03
Epoch 287/1500, Loss: 1.882111e+04, Test Loss: 1.689418e+03
Epoch 288/1500, Loss: 1.882017e+04, Test Loss: 1.688809e+03
Epoch 289/1500, Loss: 1.881513e+04, Test Loss: 1.688787e+03
Epoch 290/1500, Loss: 1.881678e+04, Test Loss: 1.691135e+03
Epoch 291/1500, Loss: 1.882213e+04, Test Loss: 1.689458e+03
Epoch 292/1500, Loss: 1.882192e+04, Test Loss: 1.689188e+03
Epoch 293/1500, Loss: 1.882731e+04, Test Loss: 1.681963e+03
Epoch 294/1500, Loss: 1.881451e+04, Test Loss: 1.681797e+03
Epoch 295/1500, Loss: 1.881600e+04, Test Loss: 1.682385e+03
Epoch 296/1500, Loss: 1.881469e+04, Test Loss: 1.681668e+03
